"base_experience","height","id","order","sprites","types","weight","name","bmi"
72,6,14,18,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png""}","[{""slot"":1,""type"":{""name"":""bug""}},{""slot"":2,""type"":{""name"":""poison""}}]",100,"Kakuna",166.66666666666669
178,10,15,19,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png""}","[{""slot"":1,""type"":{""name"":""bug""}},{""slot"":2,""type"":{""name"":""poison""}}]",295,"Beedrill",295
39,3,13,17,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png""}","[{""slot"":1,""type"":{""name"":""bug""}},{""slot"":2,""type"":{""name"":""poison""}}]",32,"Weedle",106.66666666666667
122,11,17,22,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png""}","[{""slot"":1,""type"":{""name"":""normal""}},{""slot"":2,""type"":{""name"":""flying""}}]",300,"Pidgeotto",272.72727272727275
50,3,16,21,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png""}","[{""slot"":1,""type"":{""name"":""normal""}},{""slot"":2,""type"":{""name"":""flying""}}]",18,"Pidgey",60.00000000000001
216,15,18,23,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png""}","[{""slot"":1,""type"":{""name"":""normal""}},{""slot"":2,""type"":{""name"":""flying""}}]",395,"Pidgeot",263.33333333333337
51,3,19,25,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png""}","[{""slot"":1,""type"":{""name"":""normal""}}]",35,"Rattata",116.66666666666667
52,3,21,30,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png""}","[{""slot"":1,""type"":{""name"":""normal""}},{""slot"":2,""type"":{""name"":""flying""}}]",20,"Spearow",66.66666666666667
145,7,20,27,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png""}","[{""slot"":1,""type"":{""name"":""normal""}}]",185,"Raticate",264.2857142857143
155,12,22,31,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png""}","[{""slot"":1,""type"":{""name"":""normal""}},{""slot"":2,""type"":{""name"":""flying""}}]",380,"Fearow",316.6666666666667
58,20,23,32,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png""}","[{""slot"":1,""type"":{""name"":""poison""}}]",69,"Ekans",34.5
157,35,24,33,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png""}","[{""slot"":1,""type"":{""name"":""poison""}}]",650,"Arbok",185.7142857142857
112,4,25,35,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png""}","[{""slot"":1,""type"":{""name"":""electric""}}]",60,"Pikachu",150
243,8,26,51,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png""}","[{""slot"":1,""type"":{""name"":""electric""}}]",300,"Raichu",375
60,6,27,53,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png""}","[{""slot"":1,""type"":{""name"":""ground""}}]",120,"Sandshrew",200
158,10,28,55,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png""}","[{""slot"":1,""type"":{""name"":""ground""}}]",295,"Sandslash",295
55,4,29,57,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png""}","[{""slot"":1,""type"":{""name"":""poison""}}]",70,"Nidoran-f",175
128,8,30,58,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png""}","[{""slot"":1,""type"":{""name"":""poison""}}]",200,"Nidorina",250
253,13,31,59,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png""}","[{""slot"":1,""type"":{""name"":""poison""}},{""slot"":2,""type"":{""name"":""ground""}}]",600,"Nidoqueen",461.53846153846155
55,5,32,60,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png""}","[{""slot"":1,""type"":{""name"":""poison""}}]",90,"Nidoran-m",180
128,9,33,61,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png""}","[{""slot"":1,""type"":{""name"":""poison""}}]",195,"Nidorino",216.66666666666669
253,14,34,62,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png""}","[{""slot"":1,""type"":{""name"":""poison""}},{""slot"":2,""type"":{""name"":""ground""}}]",620,"Nidoking",442.85714285714283
60,6,37,66,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png""}","[{""slot"":1,""type"":{""name"":""fire""}}]",99,"Vulpix",165
242,13,36,65,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png""}","[{""slot"":1,""type"":{""name"":""fairy""}}]",400,"Clefable",307.6923076923077
113,6,35,64,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png""}","[{""slot"":1,""type"":{""name"":""fairy""}}]",75,"Clefairy",125
177,11,38,68,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png""}","[{""slot"":1,""type"":{""name"":""fire""}}]",199,"Ninetales",180.90909090909093
218,10,40,72,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png""}","[{""slot"":1,""type"":{""name"":""normal""}},{""slot"":2,""type"":{""name"":""fairy""}}]",120,"Wigglytuff",120
95,5,39,71,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png""}","[{""slot"":1,""type"":{""name"":""normal""}},{""slot"":2,""type"":{""name"":""fairy""}}]",55,"Jigglypuff",110
49,8,41,73,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png""}","[{""slot"":1,""type"":{""name"":""poison""}},{""slot"":2,""type"":{""name"":""flying""}}]",75,"Zubat",93.75
64,5,43,76,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png""}","[{""slot"":1,""type"":{""name"":""grass""}},{""slot"":2,""type"":{""name"":""poison""}}]",54,"Oddish",108
159,16,42,74,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png""}","[{""slot"":1,""type"":{""name"":""poison""}},{""slot"":2,""type"":{""name"":""flying""}}]",550,"Golbat",343.75
138,8,44,77,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png""}","[{""slot"":1,""type"":{""name"":""grass""}},{""slot"":2,""type"":{""name"":""poison""}}]",86,"Gloom",107.5
245,12,45,78,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png""}","[{""slot"":1,""type"":{""name"":""grass""}},{""slot"":2,""type"":{""name"":""poison""}}]",186,"Vileplume",155.00000000000003
57,3,46,80,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png""}","[{""slot"":1,""type"":{""name"":""bug""}},{""slot"":2,""type"":{""name"":""grass""}}]",54,"Paras",180.00000000000003
142,10,47,81,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png""}","[{""slot"":1,""type"":{""name"":""bug""}},{""slot"":2,""type"":{""name"":""grass""}}]",295,"Parasect",295
158,15,49,83,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png""}","[{""slot"":1,""type"":{""name"":""bug""}},{""slot"":2,""type"":{""name"":""poison""}}]",125,"Venomoth",83.33333333333334
53,2,50,84,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png""}","[{""slot"":1,""type"":{""name"":""ground""}}]",8,"Diglett",40
61,10,48,82,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png""}","[{""slot"":1,""type"":{""name"":""bug""}},{""slot"":2,""type"":{""name"":""poison""}}]",300,"Venonat",300
149,7,51,86,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png""}","[{""slot"":1,""type"":{""name"":""ground""}}]",333,"Dugtrio",475.7142857142857
58,4,52,88,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png""}","[{""slot"":1,""type"":{""name"":""normal""}}]",42,"Meowth",105
154,10,53,91,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png""}","[{""slot"":1,""type"":{""name"":""normal""}}]",320,"Persian",320
175,17,55,94,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",766,"Golduck",450.5882352941177
61,5,56,95,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png""}","[{""slot"":1,""type"":{""name"":""fighting""}}]",280,"Mankey",560
64,8,54,93,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",196,"Psyduck",245
159,10,57,96,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png""}","[{""slot"":1,""type"":{""name"":""fighting""}}]",320,"Primeape",320
70,7,58,97,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png""}","[{""slot"":1,""type"":{""name"":""fire""}}]",190,"Growlithe",271.4285714285714
194,19,59,98,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png""}","[{""slot"":1,""type"":{""name"":""fire""}}]",1550,"Arcanine",815.7894736842105
60,6,60,99,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",124,"Poliwag",206.66666666666669
135,10,61,100,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",200,"Poliwhirl",200
255,13,62,101,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png""}","[{""slot"":1,""type"":{""name"":""water""}},{""slot"":2,""type"":{""name"":""fighting""}}]",540,"Poliwrath",415.38461538461536
62,9,63,103,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png""}","[{""slot"":1,""type"":{""name"":""psychic""}}]",195,"Abra",216.66666666666669
140,13,64,104,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png""}","[{""slot"":1,""type"":{""name"":""psychic""}}]",565,"Kadabra",434.6153846153846
250,15,65,105,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png""}","[{""slot"":1,""type"":{""name"":""psychic""}}]",480,"Alakazam",320
61,8,66,107,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png""}","[{""slot"":1,""type"":{""name"":""fighting""}}]",195,"Machop",243.75
142,15,67,108,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png""}","[{""slot"":1,""type"":{""name"":""fighting""}}]",705,"Machoke",470
253,16,68,109,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png""}","[{""slot"":1,""type"":{""name"":""fighting""}}]",1300,"Machamp",812.5
60,7,69,110,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png""}","[{""slot"":1,""type"":{""name"":""grass""}},{""slot"":2,""type"":{""name"":""poison""}}]",40,"Bellsprout",57.14285714285714
137,10,70,111,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png""}","[{""slot"":1,""type"":{""name"":""grass""}},{""slot"":2,""type"":{""name"":""poison""}}]",64,"Weepinbell",64
221,17,71,112,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png""}","[{""slot"":1,""type"":{""name"":""grass""}},{""slot"":2,""type"":{""name"":""poison""}}]",155,"Victreebel",91.17647058823529
67,9,72,113,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png""}","[{""slot"":1,""type"":{""name"":""water""}},{""slot"":2,""type"":{""name"":""poison""}}]",455,"Tentacool",505.5555555555556
180,16,73,114,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png""}","[{""slot"":1,""type"":{""name"":""water""}},{""slot"":2,""type"":{""name"":""poison""}}]",550,"Tentacruel",343.75
60,4,74,115,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png""}","[{""slot"":1,""type"":{""name"":""rock""}},{""slot"":2,""type"":{""name"":""ground""}}]",200,"Geodude",500
137,10,75,117,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png""}","[{""slot"":1,""type"":{""name"":""rock""}},{""slot"":2,""type"":{""name"":""ground""}}]",1050,"Graveler",1050
82,10,77,121,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png""}","[{""slot"":1,""type"":{""name"":""fire""}}]",300,"Ponyta",300
175,17,78,123,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png""}","[{""slot"":1,""type"":{""name"":""fire""}}]",950,"Rapidash",558.8235294117646
223,14,76,119,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png""}","[{""slot"":1,""type"":{""name"":""rock""}},{""slot"":2,""type"":{""name"":""ground""}}]",3000,"Golem",2142.8571428571427
63,12,79,125,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png""}","[{""slot"":1,""type"":{""name"":""water""}},{""slot"":2,""type"":{""name"":""psychic""}}]",360,"Slowpoke",300
172,16,80,127,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png""}","[{""slot"":1,""type"":{""name"":""water""}},{""slot"":2,""type"":{""name"":""psychic""}}]",785,"Slowbro",490.625
65,3,81,132,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png""}","[{""slot"":1,""type"":{""name"":""electric""}},{""slot"":2,""type"":{""name"":""steel""}}]",60,"Magnemite",200
132,8,83,135,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png""}","[{""slot"":1,""type"":{""name"":""normal""}},{""slot"":2,""type"":{""name"":""flying""}}]",150,"Farfetchd",187.5
163,10,82,133,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png""}","[{""slot"":1,""type"":{""name"":""electric""}},{""slot"":2,""type"":{""name"":""steel""}}]",600,"Magneton",600
165,18,85,138,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png""}","[{""slot"":1,""type"":{""name"":""normal""}},{""slot"":2,""type"":{""name"":""flying""}}]",852,"Dodrio",473.33333333333337
62,14,84,137,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png""}","[{""slot"":1,""type"":{""name"":""normal""}},{""slot"":2,""type"":{""name"":""flying""}}]",392,"Doduo",280
65,11,86,139,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",900,"Seel",818.1818181818181
166,17,87,140,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png""}","[{""slot"":1,""type"":{""name"":""water""}},{""slot"":2,""type"":{""name"":""ice""}}]",1200,"Dewgong",705.8823529411765
65,9,88,141,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png""}","[{""slot"":1,""type"":{""name"":""poison""}}]",300,"Grimer",333.33333333333337
175,12,89,143,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png""}","[{""slot"":1,""type"":{""name"":""poison""}}]",300,"Muk",250
184,15,91,146,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png""}","[{""slot"":1,""type"":{""name"":""water""}},{""slot"":2,""type"":{""name"":""ice""}}]",1325,"Cloyster",883.3333333333334
61,3,90,145,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",40,"Shellder",133.33333333333334
62,13,92,147,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png""}","[{""slot"":1,""type"":{""name"":""ghost""}},{""slot"":2,""type"":{""name"":""poison""}}]",1,"Gastly",0.7692307692307693
142,16,93,148,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png""}","[{""slot"":1,""type"":{""name"":""ghost""}},{""slot"":2,""type"":{""name"":""poison""}}]",1,"Haunter",0.625
77,88,95,151,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png""}","[{""slot"":1,""type"":{""name"":""rock""}},{""slot"":2,""type"":{""name"":""ground""}}]",2100,"Onix",238.63636363636363
66,10,96,154,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png""}","[{""slot"":1,""type"":{""name"":""psychic""}}]",324,"Drowzee",323.99999999999994
66,5,100,158,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png""}","[{""slot"":1,""type"":{""name"":""electric""}}]",104,"Voltorb",208
65,4,98,156,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",65,"Krabby",162.5
172,12,101,159,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png""}","[{""slot"":1,""type"":{""name"":""electric""}}]",666,"Electrode",555.0000000000001
250,15,94,149,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png""}","[{""slot"":1,""type"":{""name"":""ghost""}},{""slot"":2,""type"":{""name"":""poison""}}]",405,"Gengar",270
169,16,97,155,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png""}","[{""slot"":1,""type"":{""name"":""psychic""}}]",756,"Hypno",472.50000000000006
166,13,99,157,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",600,"Kingler",461.53846153846155
65,4,102,160,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png""}","[{""slot"":1,""type"":{""name"":""grass""}},{""slot"":2,""type"":{""name"":""psychic""}}]",25,"Exeggcute",62.5
186,20,103,161,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png""}","[{""slot"":1,""type"":{""name"":""grass""}},{""slot"":2,""type"":{""name"":""psychic""}}]",1200,"Exeggutor",600
64,4,104,163,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png""}","[{""slot"":1,""type"":{""name"":""ground""}}]",65,"Cubone",162.5
159,15,106,168,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png""}","[{""slot"":1,""type"":{""name"":""fighting""}}]",498,"Hitmonlee",332.00000000000006
149,10,105,164,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png""}","[{""slot"":1,""type"":{""name"":""ground""}}]",450,"Marowak",450
159,14,107,169,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png""}","[{""slot"":1,""type"":{""name"":""fighting""}}]",502,"Hitmonchan",358.57142857142856
77,12,108,171,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png""}","[{""slot"":1,""type"":{""name"":""normal""}}]",655,"Lickitung",545.8333333333334
68,6,109,173,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png""}","[{""slot"":1,""type"":{""name"":""poison""}}]",10,"Koffing",16.666666666666668
172,12,110,174,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png""}","[{""slot"":1,""type"":{""name"":""poison""}}]",95,"Weezing",79.16666666666667
69,10,111,176,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png""}","[{""slot"":1,""type"":{""name"":""ground""}},{""slot"":2,""type"":{""name"":""rock""}}]",1150,"Rhyhorn",1150
170,19,112,177,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png""}","[{""slot"":1,""type"":{""name"":""ground""}},{""slot"":2,""type"":{""name"":""rock""}}]",1200,"Rhydon",631.578947368421
395,11,113,180,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png""}","[{""slot"":1,""type"":{""name"":""normal""}}]",346,"Chansey",314.54545454545456
87,10,114,182,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png""}","[{""slot"":1,""type"":{""name"":""grass""}}]",350,"Tangela",350
172,22,115,184,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png""}","[{""slot"":1,""type"":{""name"":""normal""}}]",800,"Kangaskhan",363.6363636363636
59,4,116,186,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",80,"Horsea",200
158,13,119,190,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",390,"Seaking",300
154,12,117,187,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",250,"Seadra",208.33333333333334
64,6,118,189,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",150,"Goldeen",250
68,8,120,191,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png""}","[{""slot"":1,""type"":{""name"":""water""}}]",345,"Staryu",431.25
182,11,121,192,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png""}","[{""slot"":1,""type"":{""name"":""water""}},{""slot"":2,""type"":{""name"":""psychic""}}]",800,"Starmie",727.2727272727273
161,13,122,194,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png""}","[{""slot"":1,""type"":{""name"":""psychic""}},{""slot"":2,""type"":{""name"":""fairy""}}]",545,"Mr-mime",419.2307692307692
100,15,123,196,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png""}","[{""slot"":1,""type"":{""name"":""bug""}},{""slot"":2,""type"":{""name"":""flying""}}]",560,"Scyther",373.33333333333337
159,14,124,200,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png""}","[{""slot"":1,""type"":{""name"":""ice""}},{""slot"":2,""type"":{""name"":""psychic""}}]",406,"Jynx",290
172,11,125,202,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png""}","[{""slot"":1,""type"":{""name"":""electric""}}]",300,"Electabuzz",272.72727272727275
173,13,126,205,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png""}","[{""slot"":1,""type"":{""name"":""fire""}}]",445,"Magmar",342.3076923076923
175,15,127,207,"{""front_default"":""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png""}","[{""slot"":1,""type"":{""name"":""bug""}}]",550,"Pinsir",366.6666666666667
